iter	RMSE
0	3957.564349
1	3921.745701
2	3886.23955
3	3851.133244
4	3816.527413
5	3782.642867
6	3748.696427
7	3715.002648
8	3681.72347
9	3648.816498
10	3616.184636
11	3583.845794
12	3552.01674
13	3520.290054
14	3489.120025
15	3458.426093
16	3427.996565
17	3397.676641
18	3367.849769
19	3338.156424
20	3309.207663
21	3280.268245
22	3251.620013
23	3223.314488
24	3195.210903
25	3167.596343
26	3140.350381
27	3113.379156
28	3086.855828
29	3060.316552
30	3034.032452
31	3007.898766
32	2982.059378
33	2956.882603
34	2931.616798
35	2906.907794
36	2882.249658
37	2858.245827
38	2834.128334
39	2810.658418
40	2787.317924
41	2764.267049
42	2741.087099
43	2718.24929
44	2695.603198
45	2673.216611
46	2651.117867
47	2630.041551
48	2608.445572
49	2587.085573
50	2565.912721
51	2545.203416
52	2524.790467
53	2504.347416
54	2484.299942
55	2464.223205
56	2444.587664
57	2425.164553
58	2406.000073
59	2386.731822
60	2367.911446
61	2349.289929
62	2330.750044
63	2312.374455
64	2294.517697
65	2276.889924
66	2259.090992
67	2241.699341
68	2224.27345
69	2207.021971
70	2190.205667
71	2173.615181
72	2157.313232
73	2140.886456
74	2124.758445
75	2108.712097
76	2093.451859
77	2077.672082
78	2062.39517
79	2047.189424
80	2032.374693
81	2017.288565
82	2002.438502
83	1987.698982
84	1973.176122
85	1958.828158
86	1944.746757
87	1930.973121
88	1917.462807
89	1903.903129
90	1890.330864
91	1876.966881
92	1864.114256
93	1851.013338
94	1838.014917
95	1825.446186
96	1812.720809
97	1800.357882
98	1788.384965
99	1776.384801
100	1764.492602
101	1752.567356
102	1740.758765
103	1729.219326
104	1717.887499
105	1706.499966
106	1695.427463
107	1684.329772
108	1673.698201
109	1662.8205
110	1652.291404
111	1641.726277
112	1631.420394
113	1621.213409
114	1611.061459
115	1601.04495
116	1591.057994
117	1581.277991
118	1571.792445
119	1562.094013
120	1552.706836
121	1543.270779
122	1534.029571
123	1524.907922
124	1516.002247
125	1507.158533
126	1498.484669
127	1489.820942
128	1481.147321
129	1472.805947
130	1464.572552
131	1456.190257
132	1448.293827
133	1440.352954
134	1432.439907
135	1424.876276
136	1417.002243
137	1409.45226
138	1401.864224
139	1394.549159
140	1387.141528
141	1380.069329
142	1372.825502
143	1365.721536
144	1358.657921
145	1351.922425
146	1345.19284
147	1338.393205
148	1332.030721
149	1325.554213
150	1319.167527
151	1312.711722
152	1306.565481
153	1300.479416
154	1294.38367
155	1288.427768
156	1282.417797
157	1276.538831
158	1270.764378
159	1264.994365
160	1259.330535
161	1253.793239
162	1248.360492
163	1243.020691
164	1237.684463
165	1232.446389
166	1227.155815
167	1222.010413
168	1216.784575
169	1211.862765
170	1207.001541
171	1202.005926
172	1197.277201
173	1192.38764
174	1187.783541
175	1183.226438
176	1178.791112
177	1174.451272
178	1170.030457
179	1165.570249
180	1161.044647
181	1156.88314
182	1152.509156
183	1148.199025
184	1143.978551
185	1139.938386
186	1135.90982
187	1132.119047
188	1128.251408
189	1124.475032
190	1120.693812
191	1117.017054
192	1113.272368
193	1109.443964
194	1105.885293
195	1102.453875
196	1098.810575
197	1095.369296
198	1091.862958
199	1088.399469
200	1085.123944
201	1081.934987
202	1078.653646
203	1075.42859
204	1072.277716
205	1069.123946
206	1066.121309
207	1063.017275
208	1059.949571
209	1057.125272
210	1054.231567
211	1051.263095
212	1048.555098
213	1045.760934
214	1042.690057
215	1040.105899
216	1037.459268
217	1034.929249
218	1032.293412
219	1029.656911
220	1027.082437
221	1024.522931
222	1021.959716
223	1019.447382
224	1017.017772
225	1014.612713
226	1012.21099
227	1009.942465
228	1007.777236
229	1005.514984
230	1003.321732
231	1001.194475
232	998.7778639
233	996.6447025
234	994.4497691
235	992.3643656
236	990.3606623
237	988.4005855
238	986.4457552
239	984.4771211
240	982.5057262
241	980.5474888
242	978.5828823
243	976.591339
244	974.7207069
245	972.9510475
246	971.2101221
247	969.3450367
248	967.5113664
249	965.8356679
250	964.1509806
251	962.5005686
252	960.7843587
253	959.1711107
254	957.5464713
255	955.9001528
256	954.3437604
257	952.8782282
258	951.4288513
259	949.8861489
260	948.4406101
261	946.9507604
262	945.4176709
263	943.9888356
264	942.529476
265	941.1560026
266	939.7194111
267	938.3331736
268	937.0947787
269	935.5576121
270	934.2315903
271	932.967449
272	931.6514938
273	930.5449074
274	929.2310828
275	928.0294985
276	926.7844032
277	925.552224
278	924.4182979
279	923.1305754
280	921.9605427
281	920.9877134
282	919.9387701
283	918.8696234
284	917.6504966
285	916.5945571
286	915.5027942
287	914.4985428
288	913.5047125
289	912.5173144
290	911.3976741
291	910.3386111
292	909.2929029
293	908.384272
294	907.4363212
295	906.393268
296	905.4071811
297	904.4207852
298	903.5364184
299	902.626011
300	901.7413565
301	900.9298593
302	900.0246597
303	899.230651
304	898.3536016
305	897.461396
306	896.554153
307	895.7323922
308	894.8903336
309	894.1214574
310	893.3040489
311	892.4987108
312	891.704221
313	890.8706481
314	890.0726051
315	889.2581782
316	888.4523136
317	887.8208766
318	887.1873148
319	886.4852437
320	885.7479618
321	885.0548028
322	884.232806
323	883.5647086
324	882.9767088
325	882.209564
326	881.575082
327	880.9026971
328	880.2239986
329	879.5082645
330	878.8723401
331	878.2975566
332	877.5525062
333	876.8585432
334	876.1876796
335	875.6205328
336	875.0977971
337	874.4208635
338	873.7833663
339	873.2725897
340	872.6826262
341	872.1190074
342	871.5902096
343	871.0460669
344	870.4833644
345	869.9837934
346	869.4727096
347	868.9931652
348	868.4494942
349	867.802756
350	867.2599317
351	866.6477617
352	866.1333807
353	865.6055628
354	865.0851145
355	864.4875587
356	864.0809428
357	863.6334997
358	863.1783779
359	862.6872269
360	862.1574458
361	861.6359384
362	861.2161765
363	860.6522198
364	860.1401321
365	859.7091036
366	859.2955651
367	858.7289112
368	858.3247332
369	857.8580835
370	857.4759966
371	857.0933277
372	856.7874461
373	856.4128688
374	855.9672418
375	855.6690942
376	855.2392686
377	854.8813324
378	854.481548
379	854.0510434
380	853.6050645
381	853.2805253
382	852.9783885
383	852.6032302
