iter	Passed	Remaining
0	76	7597
1	160	7881
2	182	5903
3	253	6092
4	308	5868
5	330	5177
6	462	6150
7	514	5917
8	575	5821
9	632	5695
10	660	5341
11	724	5310
12	782	5237
13	839	5158
14	862	4885
15	926	4861
16	994	4853
17	1018	4640
18	1075	4585
19	1133	4534
20	1196	4502
21	1263	4478
22	1288	4314
23	1356	4296
24	1419	4259
25	1461	4159
26	1524	4122
27	1545	3975
28	1608	3938
29	1669	3895
30	1766	3931
31	1788	3800
32	1898	3853
88
33	2284	4434
34	2348	4360
35	2417	4298
36	2460	4189
37	2521	4113
38	2543	3978
39	2594	3892
40	2671	3845
41	2735	3777
42	2757	3655
43	2816	3585
44	2913	3560
45	2973	3490
46	2995	3377
47	3063	3318
48	3126	3253
49	3185	3185
50	3246	3119
51	3306	3051
52	3368	2986
53	3389	2887
54	3493	2858
55	3561	2798
56	3585	2704
57	3730	2701
58	3791	2635
59	3820	2547
60	3879	2480
61	3967	2431
62	4031	2367
63	4054	2280
64	4111	2213
65	4151	2138
66	4200	2068
67	4222	1986
68	4277	1921
69	4323	1852
70	4401	1797
71	4462	1735
72	4531	1676
73	4618	1622
74	4672	1557
75	4697	1483
76	4749	1418
77	4803	1354
78	4850	1289
79	4908	1227
80	4929	1156
81	4984	1094
82	5043	1032
83	5100	971
84	5122	903
85	5179	843
86	5232	781
87	5253	716
88	5285	653
89	5355	595
90	5391	533
91	5444	473
92	5465	411
93	5517	352
94	5560	292
95	5616	234
96	5639	174
97	5699	116
98	5759	58
99	5808	0
0
	0
