iter	MultiClass
0	2.286842802
1	2.206347615
2	2.144931583
3	2.098167117
4	2.057965288
5	2.025726703
6	1.99809878
7	1.975496707
8	1.956663439
9	1.940120486
10	1.926166359
11	1.914315541
12	1.90367411
13	1.894854692
14	1.887232581
15	1.880726941
16	1.874585404
17	1.869932638
18	1.865463489
19	1.861749867
20	1.858976134
21	1.85600574
22	1.853390579
23	1.850855816
24	1.848688271
25	1.846841271
26	1.84541103
27	1.843887538
28	1.842380323
29	1.841239298
30	1.840143884
31	1.839120303
32	1.838314227
33	1.837259565
34	1.836392405
35	1.835744067
36	1.835090997
37	1.834533628
38	1.834319103
39	1.833955936
40	1.833608418
41	1.83304741
42	1.83242464
43	1.832034966
44	1.831713693
45	1.831381754
46	1.8311195
47	1.830893232
48	1.830762173
49	1.830505568
50	1.830102951
51	1.829699654
52	1.829277229
53	1.828915388
54	1.828676454
55	1.828361554
56	1.82819582
57	1.827973884
58	1.827582048
59	1.827316112
60	1.826988839
61	1.826800538
62	1.826650213
63	1.826423774
64	1.826077478
65	1.825911237
66	1.825662983
67	1.825372936
68	1.825155895
69	1.825097745
70	1.824969605
71	1.824713167
72	1.824496275
73	1.824494338
74	1.824305029
75	1.824145775
76	1.823911965
77	1.823609791
78	1.823437336
79	1.823207239
80	1.822869773
81	1.822749947
82	1.822593864
83	1.822424374
84	1.822240061
85	1.82208826
86	1.822006429
87	1.821823206
88	1.821714264
89	1.821589743
90	1.821414949
91	1.821078158
92	1.820811309
93	1.820563766
94	1.820334628
95	1.820201149
96	1.820046965
97	1.820029451
98	1.820025672
99	1.819856259
100	1.819605627
101	1.819367516
102	1.81913612
103	1.819004241
104	1.818888601
105	1.81875403
106	1.818686349
107	1.818562532
108	1.818379841
109	1.818280539
110	1.818177916
111	1.818082628
112	1.817913816
113	1.817764416
114	1.8175699
115	1.817510039
116	1.817341421
117	1.817165987
118	1.816974645
119	1.816852651
120	1.816736135
121	1.816466986
122	1.816293001
123	1.816159895
124	1.816014858
125	1.81584738
126	1.815637323
127	1.815484288
128	1.815412706
129	1.815222876
130	1.815129719
131	1.815059974
132	1.814991405
133	1.814835832
134	1.814696511
135	1.814497222
136	1.814427442
137	1.814275224
138	1.814187764
139	1.8140103
140	1.813886426
141	1.813769585
142	1.813662167
143	1.81355287
144	1.813255069
145	1.813163595
146	1.812988817
147	1.812868838
148	1.812647736
149	1.812458289
150	1.812440024
151	1.812261901
152	1.812145888
153	1.812046281
154	1.811877834
155	1.811720931
156	1.811626942
157	1.811519783
158	1.811363941
159	1.811294281
160	1.811124739
161	1.81097904
162	1.810757462
163	1.810682804
164	1.810504834
165	1.810419246
166	1.810184444
167	1.810037439
168	1.80985677
169	1.809660277
170	1.809544091
171	1.809403047
172	1.809205816
173	1.809075567
174	1.809006216
175	1.808857785
176	1.808714749
177	1.808690305
178	1.80858197
179	1.808471477
