iter	Passed	Remaining
0	40	40212
1	77	38741
2	115	38302
3	137	34156
4	172	34380
5	211	35095
6	248	35305
7	286	35540
8	325	35890
9	363	35977
10	400	36009
11	438	36118
12	479	36379
13	516	36359
14	553	36328
15	591	36367
16	629	36396
17	667	36416
18	706	36502
19	745	36526
20	772	36029
21	809	35982
22	845	35914
23	882	35873
24	918	35814
25	953	35719
26	990	35691
27	1025	35609
28	1065	35664
29	1103	35667
30	1141	35682
31	1179	35670
32	1215	35615
33	1251	35544
34	1288	35530
35	1324	35471
36	1361	35430
37	1397	35388
38	1419	34989
39	1456	34958
40	1495	34973
41	1531	34926
42	1568	34914
43	1604	34865
44	1640	34820
45	1676	34775
46	1713	34733
47	1750	34714
48	1776	34470
49	1811	34415
50	1848	34390
51	1884	34363
52	1922	34351
53	1959	34327
54	1995	34294
55	2032	34260
56	2069	34232
57	2107	34223
58	2145	34213
59	2182	34193
60	2221	34190
61	2258	34175
62	2294	34122
63	2331	34096
64	2369	34087
65	2408	34088
66	2443	34023
67	2480	33999
68	2514	33930
69	2549	33865
70	2586	33846
71	2623	33819
72	2662	33804
73	2681	33560
74	2718	33528
75	2756	33507
76	2791	33465
77	2830	33458
78	2867	33435
79	2907	33436
80	2945	33423
81	2983	33399
82	3020	33373
83	3056	33333
84	3094	33306
85	3131	33280
86	3170	33267
87	3207	33238
88	3245	33217
89	3282	33192
90	3320	33166
91	3357	33133
92	3395	33111
93	3434	33101
94	3473	33088
95	3511	33063
96	3549	33043
97	3576	32915
98	3598	32752
99	3636	32724
100	3674	32705
101	3714	32704
102	3753	32685
103	3789	32651
104	3824	32599
105	3862	32574
106	3899	32543
107	3936	32514
108	3975	32498
109	4014	32480
110	4053	32463
111	4092	32446
112	4128	32407
113	4166	32382
114	4204	32356
115	4239	32310
116	4278	32292
117	4313	32244
118	4352	32225
119	4390	32200
120	4428	32170
121	4464	32131
122	4501	32096
123	4541	32083
124	4578	32050
125	4615	32012
126	4652	31981
127	4687	31935
128	4722	31888
129	4760	31857
130	4796	31816
131	4833	31783
132	4870	31746
133	4906	31707
134	4944	31683
135	4980	31640
136	5017	31604
137	5054	31572
138	5090	31532
139	5127	31499
140	5166	31473
141	5203	31442
142	5238	31394
143	5277	31369
144	5313	31333
145	5351	31300
146	5385	31249
147	5423	31221
148	5460	31185
149	5498	31157
150	5537	31134
151	5576	31109
152	5615	31085
153	5652	31051
154	5689	31016
155	5727	30985
156	5762	30942
157	5800	30910
158	5835	30866
159	5873	30835
160	5911	30805
161	5948	30770
162	5984	30730
163	6024	30710
164	6060	30671
165	6097	30633
166	6136	30608
167	6173	30573
168	6211	30541
169	6249	30511
170	6287	30479
171	6325	30449
172	6361	30408
173	6396	30367
174	6434	30333
175	6470	30294
176	6509	30265
177	6544	30224
178	6581	30188
179	6620	30162
180	6656	30118
181	6692	30081
182	6730	30049
183	6767	30012
184	6806	29987
185	6842	29947
186	6880	29912
187	6917	29877
188	6954	29841
189	6991	29803
190	7028	29769
191	7063	29723
192	7099	29684
193	7136	29650
194	7173	29615
195	7209	29571
196	7244	29531
197	7282	29499
198	7320	29464
199	7356	29424
200	7392	29386
201	7428	29345
202	7465	29311
203	7502	29273
204	7538	29234
205	7574	29195
206	7611	29159
207	7649	29126
208	7688	29098
209	7726	29066
210	7763	29029
211	7800	28994
212	7837	28957
213	7874	28922
214	7911	28885
215	7950	28857
216	7987	28820
217	8024	28786
218	8062	28751
219	8100	28718
220	8136	28680
221	8174	28645
222	8210	28607
223	8246	28567
224	8283	28531
225	8320	28497
226	8359	28467
227	8397	28434
228	8435	28400
229	8474	28370
230	8512	28337
231	8549	28302
232	8586	28265
233	8624	28231
234	8661	28196
235	8699	28162
236	8738	28131
237	8777	28102
238	8816	28072
239	8855	28041
240	8891	28001
241	8931	27975
242	8969	27940
243	9006	27906
244	9044	27872
245	9083	27841
246	9122	27811
247	9161	27781
248	9201	27753
249	9239	27718
250	9280	27693
251	9317	27656
252	9354	27619
253	9394	27591
254	9430	27552
255	9468	27517
256	9507	27486
257	9545	27453
258	9584	27420
259	9622	27386
260	9658	27348
261	9696	27312
262	9732	27272
263	9770	27240
264	9808	27205
265	9846	27171
266	9883	27134
267	9922	27102
268	9960	27066
269	9999	27036
270	10037	27001
271	10075	26966
272	10113	26932
273	10150	26894
274	10186	26854
275	10225	26823
276	10261	26784
277	10297	26743
278	10335	26708
279	10372	26672
280	10411	26639
281	10447	26601
282	10484	26563
283	10521	26527
284	10558	26490
285	10596	26454
286	10632	26414
287	10670	26381
288	10708	26344
289	10747	26313
290	10784	26274
291	10823	26244
292	10859	26203
293	10895	26164
294	10933	26128
295	10971	26093
296	11007	26054
297	11045	26019
298	11082	25981
299	11119	25945
300	11156	25907
301	11191	25867
302	11230	25832
303	11266	25794
304	11303	25757
305	11341	25721
306	11380	25688
307	11415	25647
308	11450	25606
309	11489	25573
310	11527	25538
311	11564	25501
312	11602	25466
313	11639	25428
314	11678	25395
315	11715	25359
316	11754	25325
317	11788	25282
318	11826	25248
319	11863	25209
320	11900	25172
321	11938	25137
322	11977	25105
323	12016	25071
324	12055	25038
325	12092	25001
326	12127	24959
327	12165	24924
328	12200	24883
329	12237	24845
330	12274	24808
331	12311	24770
332	12345	24727
333	12382	24690
334	12421	24656
335	12458	24621
336	12496	24584
337	12533	24548
338	12571	24511
339	12607	24473
340	12643	24435
341	12679	24395
342	12716	24358
343	12751	24317
344	12789	24281
345	12826	24243
346	12865	24211
347	12903	24175
348	12939	24136
349	12975	24097
350	13013	24061
351	13048	24020
352	13084	23982
353	13123	23947
354	13158	23908
355	13193	23867
356	13231	23830
357	13267	23792
358	13305	23756
359	13342	23720
360	13379	23682
361	13418	23649
362	13456	23613
363	13492	23575
364	13529	23537
365	13566	23501
366	13604	23465
367	13640	23426
368	13675	23384
369	13713	23349
370	13749	23311
371	13787	23275
372	13824	23238
373	13860	23199
374	13897	23163
375	13936	23128
376	13972	23090
377	14010	23053
378	14047	23017
379	14085	22981
380	14124	22948
381	14163	22913
382	14201	22878
383	14241	22845
384	14279	22810
385	14317	22774
386	14353	22735
387	14389	22697
388	14429	22664
389	14466	22626
390	14502	22588
391	14541	22554
392	14579	22518
393	14617	22482
394	14655	22447
395	14693	22410
396	14731	22375
397	14768	22337
398	14806	22302
399	14842	22263
400	14880	22227
401	14916	22189
402	14956	22156
403	14994	22120
404	15029	22080
405	15068	22046
406	15108	22013
407	15146	21977
408	15182	21938
409	15219	21901
410	15259	21868
411	15296	21830
412	15334	21795
413	15370	21755
414	15406	21718
415	15444	21682
416	15482	21645
417	15519	21607
418	15556	21570
419	15593	21534
420	15629	21494
421	15666	21458
422	15703	21420
423	15740	21383
424	15777	21346
425	15816	21310
426	15855	21276
427	15891	21238
428	15926	21198
429	15963	21160
430	16000	21123
431	16035	21083
432	16074	21049
433	16112	21012
434	16150	20976
435	16187	20940
436	16224	20902
437	16258	20861
438	16295	20823
439	16332	20786
440	16369	20749
441	16406	20712
442	16441	20672
443	16480	20637
444	16518	20601
445	16556	20565
446	16595	20531
447	16633	20494
448	16669	20456
449	16706	20419
450	16744	20383
451	16781	20345
452	16818	20308
453	16857	20273
454	16895	20237
455	16932	20200
456	16971	20164
457	17007	20126
458	17043	20088
459	17081	20051
460	17117	20013
461	17154	19976
462	17191	19939
463	17229	19902
464	17267	19866
465	17303	19828
466	17341	19792
467	17380	19757
468	17417	19720
469	17453	19681
470	17489	19643
471	17525	19605
472	17560	19564
473	17597	19527
474	17635	19491
475	17671	19453
476	17708	19416
477	17745	19379
478	17786	19346
479	17822	19307
480	17858	19269
481	17895	19232
482	17931	19194
483	17967	19154
484	18002	19116
485	18037	19076
486	18075	19040
487	18112	19003
488	18151	18968
489	18189	18932
490	18226	18895
491	18263	18857
492	18302	18821
493	18339	18784
494	18376	18748
495	18415	18712
496	18452	18674
497	18488	18637
498	18525	18599
499	18561	18561
500	18599	18525
501	18637	18488
502	18673	18450
503	18711	18414
504	18749	18378
505	18786	18340
506	18823	18303
507	18859	18265
508	18898	18230
509	18935	18193
510	18973	18156
511	19010	18119
512	19048	18083
513	19086	18046
514	19123	18009
515	19160	17972
516	19199	17936
517	19236	17899
518	19272	17861
519	19309	17824
520	19348	17788
521	19384	17750
522	19423	17715
523	19461	17678
524	19501	17644
525	19539	17607
526	19576	17570
527	19616	17535
528	19652	17498
529	19689	17460
530	19727	17423
531	19764	17386
532	19803	17351
533	19840	17314
534	19877	17276
535	19913	17238
536	19949	17200
537	19986	17162
538	20023	17125
539	20061	17089
540	20097	17051
541	20133	17013
542	20171	16977
543	20207	16938
544	20244	16901
545	20278	16862
546	20316	16825
547	20351	16786
548	20388	16749
549	20426	16712
550	20463	16675
551	20501	16639
552	20538	16601
553	20576	16565
554	20614	16528
555	20650	16490
556	20686	16452
557	20722	16414
558	20760	16377
559	20799	16342
560	20835	16304
561	20873	16267
562	20909	16229
563	20947	16193
564	20985	16157
565	21021	16119
566	21058	16081
567	21096	16045
568	21135	16009
569	21171	15971
570	21210	15935
571	21246	15898
572	21282	15859
573	21319	15822
574	21360	15788
575	21397	15750
576	21434	15713
577	21472	15677
578	21508	15639
579	21546	15602
580	21582	15564
581	21619	15527
582	21656	15490
583	21693	15452
584	21730	15415
585	21765	15376
586	21802	15339
587	21839	15302
588	21876	15265
589	21913	15227
590	21950	15190
591	21987	15153
592	22023	15115
593	22060	15078
594	22097	15041
595	22134	15003
596	22172	14967
597	22210	14930
598	22248	14894
599	22287	14858
600	22324	14821
601	22362	14784
602	22397	14746
603	22434	14708
604	22472	14671
605	22509	14634
606	22546	14597
607	22583	14560
608	22621	14523
609	22661	14488
610	22697	14450
611	22734	14413
612	22771	14376
613	22808	14338
614	22844	14300
615	22881	14263
616	22920	14227
617	22956	14189
618	22993	14152
619	23031	14115
620	23065	14077
621	23101	14039
622	23138	14002
623	23175	13964
624	23214	13928
625	23250	13891
626	23288	13854
627	23326	13817
628	23362	13780
629	23401	13743
630	23436	13705
631	23473	13668
632	23510	13631
633	23550	13595
634	23588	13558
635	23624	13521
636	23662	13484
637	23700	13447
638	23736	13409
639	23773	13372
640	23810	13335
641	23847	13297
642	23883	13260
643	23922	13224
644	23961	13188
645	23997	13150
646	24035	13113
647	24073	13077
648	24110	13039
649	24148	13003
650	24185	12965
651	24223	12929
652	24262	12893
653	24299	12855
654	24335	12817
655	24372	12780
656	24411	12744
657	24448	12707
658	24485	12670
659	24525	12634
660	24562	12597
661	24598	12559
662	24637	12523
663	24676	12486
664	24713	12449
665	24750	12412
666	24788	12375
667	24825	12338
668	24862	12300
669	24900	12264
670	24937	12227
671	24974	12189
672	25010	12152
673	25046	12114
674	25084	12077
675	25121	12040
676	25158	12003
677	25195	11966
678	25234	11929
679	25271	11892
680	25309	11855
681	25346	11818
682	25383	11781
683	25420	11744
684	25457	11706
685	25497	11670
686	25534	11633
687	25572	11596
688	25610	11559
689	25646	11522
690	25682	11484
691	25718	11447
692	25756	11410
693	25793	11373
694	25831	11336
695	25868	11298
696	25905	11261
697	25942	11224
698	25980	11187
699	26018	11150
700	26056	11113
701	26093	11076
702	26130	11039
703	26167	11002
704	26203	10964
705	26240	10927
706	26277	10889
707	26313	10852
708	26350	10815
709	26388	10778
710	26427	10742
711	26465	10705
712	26502	10667
713	26541	10631
714	26578	10594
715	26617	10557
716	26655	10520
717	26693	10484
718	26732	10447
719	26769	10410
720	26807	10373
721	26844	10336
722	26880	10298
723	26918	10261
724	26956	10224
725	26994	10188
726	27032	10151
727	27069	10113
728	27108	10077
729	27144	10039
730	27181	10002
731	27217	9964
732	27254	9927
733	27293	9890
734	27329	9853
735	27367	9816
736	27403	9778
737	27442	9742
738	27479	9705
739	27513	9666
740	27551	9629
741	27586	9592
742	27624	9555
743	27662	9518
744	27701	9481
745	27739	9444
746	27777	9407
747	27815	9370
748	27855	9334
749	27891	9297
750	27927	9259
751	27966	9222
752	28002	9185
753	28040	9148
754	28076	9110
755	28112	9073
756	28149	9036
757	28187	8999
758	28225	8962
759	28261	8924
760	28298	8887
761	28337	8850
762	28373	8813
763	28409	8775
764	28448	8738
765	28485	8701
766	28522	8664
767	28559	8627
768	28595	8589
769	28632	8552
770	28669	8515
771	28707	8478
772	28745	8441
773	28784	8404
774	28822	8367
775	28861	8331
776	28897	8293
777	28935	8256
778	28972	8219
779	29009	8182
780	29045	8144
781	29081	8107
782	29118	8069
783	29156	8032
784	29193	7995
785	29232	7958
786	29268	7921
787	29306	7884
788	29342	7847
789	29381	7810
790	29420	7773
791	29459	7736
792	29497	7699
793	29535	7662
794	29571	7625
795	29609	7588
796	29648	7551
797	29684	7514
798	29721	7476
799	29758	7439
800	29795	7402
801	29833	7365
802	29871	7328
803	29910	7291
804	29947	7254
805	29982	7216
806	30019	7179
807	30058	7142
808	30093	7104
809	30130	7067
810	30169	7030
811	30208	6993
812	30246	6957
813	30284	6919
814	30319	6882
815	30355	6844
816	30394	6808
817	30433	6771
818	30468	6733
819	30506	6696
820	30546	6660
821	30582	6622
822	30620	6585
823	30657	6548
824	30695	6511
825	30732	6473
826	30769	6436
827	30809	6400
828	30848	6363
829	30886	6326
830	30921	6288
831	30961	6251
832	31000	6214
833	31039	6178
834	31076	6140
835	31113	6103
836	31151	6066
837	31189	6029
838	31228	5992
839	31265	5955
840	31301	5917
841	31339	5880
842	31377	5843
843	31417	5806
844	31456	5770
845	31492	5732
846	31531	5695
847	31569	5658
848	31605	5621
849	31643	5584
850	31681	5546
851	31719	5509
852	31757	5472
853	31793	5435
854	31830	5398
855	31867	5360
856	31904	5323
857	31943	5286
858	31981	5249
859	32020	5212
860	32058	5175
861	32096	5138
862	32133	5101
863	32170	5063
864	32206	5026
865	32242	4989
866	32279	4951
867	32314	4914
868	32352	4877
869	32390	4839
870	32426	4802
871	32462	4765
872	32499	4727
873	32537	4690
874	32574	4653
875	32610	4616
876	32650	4579
877	32687	4541
878	32726	4505
879	32762	4467
880	32801	4430
881	32839	4393
882	32877	4356
883	32915	4319
884	32953	4282
885	32991	4244
886	33027	4207
887	33064	4170
888	33104	4133
889	33140	4096
890	33178	4058
891	33213	4021
892	33251	3984
893	33287	3946
894	33325	3909
895	33362	3872
896	33399	3835
897	33440	3798
898	33477	3761
899	33512	3723
900	33548	3686
901	33585	3648
902	33623	3611
903	33658	3574
904	33695	3537
905	33732	3499
906	33769	3462
907	33805	3425
908	33843	3388
909	33882	3351
910	33919	3313
911	33960	3276
912	33997	3239
913	34038	3202
914	34077	3165
915	34114	3128
916	34149	3090
917	34187	3053
918	34223	3016
919	34260	2979
920	34298	2942
921	34335	2904
922	34371	2867
923	34408	2830
924	34447	2793
925	34484	2755
926	34522	2718
927	34558	2681
928	34598	2644
929	34636	2607
930	34672	2569
931	34709	2532
932	34748	2495
933	34787	2458
934	34823	2420
935	34859	2383
936	34897	2346
937	34935	2309
938	34973	2271
939	35010	2234
940	35047	2197
941	35084	2160
942	35120	2122
943	35157	2085
944	35194	2048
945	35229	2010
946	35267	1973
947	35304	1936
948	35344	1899
949	35382	1862
950	35419	1824
951	35455	1787
952	35490	1750
953	35529	1713
954	35566	1675
955	35602	1638
956	35640	1601
957	35678	1564
958	35714	1526
959	35751	1489
