iter	Passed	Remaining
0	181	181415
1	204	102047
2	230	76545
3	255	63661
4	279	55661
5	304	50456
6	330	46898
7	357	44358
8	384	42313
9	417	41293
10	446	40155
11	477	39313
12	501	38085
13	527	37181
14	553	36365
15	581	35784
16	611	35339
17	642	35030
18	671	34651
19	699	34299
20	726	33877
21	755	33594
22	783	33290
23	812	33049
24	842	32840
25	873	32705
26	901	32501
27	930	32291
28	957	32074
29	986	31912
30	1011	31610
31	1038	31407
32	1063	31156
33	1090	30978
34	1112	30660
35	1135	30400
36	1163	30276
37	1191	30174
38	1216	29969
39	1245	29895
40	1268	29667
41	1294	29521
42	1319	29358
43	1345	29237
44	1369	29064
45	1398	28998
46	1421	28828
47	1445	28665
48	1469	28517
49	1496	28427
50	1520	28290
51	1545	28175
52	1571	28084
53	1596	27964
54	1623	27898
55	1651	27843
56	1678	27768
57	1704	27679
58	1730	27592
59	1755	27498
60	1780	27406
61	1806	27337
62	1836	27312
63	1860	27211
64	1883	27099
65	1908	27004
66	1935	26955
67	1957	26827
68	1979	26704
69	2001	26595
70	2024	26487171	2045	26367272	2067	26257373	2087	26127474	2112	26057575	2138	26007676	2166	25977777	2192	25917878	2215	25827979	2243	25798080	2267	25738181	2292	25668282	2316	25598383	2338	25508484	2363	25448585	2387	25378686	2411	25308787	2435	25238888	2460	25188989	2484	25129090	2507	25049191	2532	24999292	2559	24969393	2583	24909494	2610	24879595	2635	24819696	2658	24749797	2683	24699898	2708	246599	2786	25074
100	2810	25014
101	2832	24940
102	2855	24864
103	2880	24818
10104	2853	243210105	2880	242910106	2903	242310107	2928	241810108	2955	241510109	2979	241011110	3007	240811111	3034	240511112	3062	240411113	3089	240011114	3114	239611115	3139	239211116	3167	239011117	3194	238711118	3219	238311119	3246	238012120	3272	237712121	3297	237312122	3322	236912123	3346	236412124	3375	236212125	3404	23612
126	3430	23582
127	3458	23560
128	3486	23537
129	3507	23470
130	3529	23412
131	3555	23377
132	3581	23345
133	3605	23302
134	3633	23278
135	3654	23218
136	3678	23171
137	3704	23137
138	3726	230713139	3748	230214140	3774	229914141	3800	229614142	3823	229114143	3847	228714144	3870	228214145	3897	227914146	3924	227714147	3951	227414148	3980	227314149	4005	226915150	4030	226615151	4055	226215152	4083	226015153	4104	225415154	4130	225115155	4153	224715156	4178	224315157	4204	224015158	4226	223515159	4253	223216160	4277	222916161	4302	222516162	4329	222316163	4355	222016164	4379	221616165	4401	221116166	4426	220816167	4450	220316168	4472	219916169	4498	219617170	4522	219217171	4545	218817172	4571	218517173	4594	218017174	4618	217717175	4640	217217176	4664	216917177	4689	216517178	4715	216217179	4747	21626
180	4769	215818181	4793	215418182	4817	215018183	4843	214818184	4873	214618185	4901	214518186	4927	214218187	4953	213918188	4979	213618189	5007	213419190	5029	213019191	5052	212619192	5074	212119193	5096	211719194	5119	211319195	5142	210919196	5167	210619197	5193	210319198	5221	21018
199	5263	21052
200	5287	21019
201	5310	20977
202	5332	20935
203	5360	20915
204	5388	20898
205	5417	20879
206	5439	20837
207	5465	20812
208	5485	20760
209	5509	20726
210	5536	20703
211	5558	20661
212	5584	20633
213	5609	20602
214	5631	20561
215	5654	20522
216	5678	20488
217	5698	20441
218	5719	20398
219	5740	20351
220	5764	20318
221	5786	20279
222	5808	20238
223	5830	20199
224	5851	20153
225	5872	20111
226	5893	20067
227	5916	20032
228	5939	199922229	5962	199623230	5983	199123231	6003	198723232	6025	198323233	6046	1979234	6121	19927
235	6149	19908
236	6180	19897
237	6204	19864
238	6229	19836
239	6252	19800
240	6275	19762
241	6302	19742
242	6325	19704
243	6353	19686
244	6379	19659
24245	6354	1947246	6428	19596
247	6451	19561
248	6478	19538
249	6500	19502
250	6525	19473
251	6549	19441
252	6571	19404
253	6595	19370
254	6616	19330
255	6636	19288
